event_id,event_title,event_description,event_link,category_ids,category_titles,occurrence_date,occurrence_type,longitude,latitude,year,month,day,region,country,continent
EONET_13506,"RX BOSH JACKPOT Wildfire, Owyhee, Idaho",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13506,wildfires,Wildfires,2025-04-25 18:16:00+00:00,Point,-116.559094,42.605363,2025,4,25,Idaho,United States,North America
EONET_13428,"27 FIRE Wildfire, Broward, Florida","Broward County, Weston, Florida",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13428,wildfires,Wildfires,2025-04-25 14:15:00+00:00,Point,-80.4502778,26.0847222,2025,4,25,Florida,United States,North America
EONET_13436,"Bee Island Fire (58) Wildfire, Sarasota, Florida","Myakka State Park: 13208 State Road 72 (Bee Island Primitive Campsite area), Sar",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13436,wildfires,Wildfires,2025-04-24 20:48:00+00:00,Point,-82.2608333,27.2613889,2025,4,24,Florida,United States,North America
EONET_13419,"Thompson Hollow Rd. Wildfire, Adams, Pennsylvania",20 miles SE of Shippensburg PA.,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13419,wildfires,Wildfires,2025-04-24 16:57:00+00:00,Point,-77.403951,39.988532,2025,4,24,Pennsylvania,United States,North America
EONET_13441,"Fore Mountain Rx Wildfire, Alleghany, Virginia",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13441,wildfires,Wildfires,2025-04-24 07:40:00+00:00,Point,-79.87395,37.843583,2025,4,24,Virginia,United States,North America
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2022-04-29 00:00:00+00:00,Point,99.61,-65.68,2022,4,29,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2023-02-03 00:00:00+00:00,Point,99.15,-65.16,2023,2,3,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2023-08-11 00:00:00+00:00,Point,98.37,-64.78,2023,8,11,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-04-24 00:00:00+00:00,Point,97.94,-64.27,2025,4,24,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-05-02 00:00:00+00:00,Point,95.86,-64.34,2025,5,2,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-05-09 00:00:00+00:00,Point,92.92,-65.05,2025,5,9,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-05-22 00:00:00+00:00,Point,90.81,-65.46,2025,5,22,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-05-29 00:00:00+00:00,Point,89.37,-65.8,2025,5,29,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-06-05 00:00:00+00:00,Point,85.51,-65.96,2025,6,5,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-06-20 00:00:00+00:00,Point,84.07,-66.28,2025,6,20,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-07-11 00:00:00+00:00,Point,83.06,-66.03,2025,7,11,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-07-31 00:00:00+00:00,Point,81.85,-65.8,2025,7,31,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-09-04 00:00:00+00:00,Point,80.3,-66.17,2025,9,4,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-10-09 00:00:00+00:00,Point,77.76,-66.56,2025,10,9,Kerguelen,French Southern Territories,Antarctica
EONET_6051,Iceberg C39,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_6051,seaLakeIce,Sea and Lake Ice,2025-10-16 00:00:00+00:00,Point,77.22,-67.03,2025,10,16,Kerguelen,French Southern Territories,Antarctica
EONET_13368,Iceberg D36A,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13368,seaLakeIce,Sea and Lake Ice,2025-04-24 00:00:00+00:00,Point,86.55,-66.32,2025,4,24,Kerguelen,French Southern Territories,Antarctica
EONET_13369,Iceberg D36B,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13369,seaLakeIce,Sea and Lake Ice,2025-04-24 00:00:00+00:00,Point,86.74,-66.25,2025,4,24,Kerguelen,French Southern Territories,Antarctica
EONET_13364,"Jones Road Wildfire, Ocean, New Jersey",Intersection of Bryant Road and Jones Road,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13364,wildfires,Wildfires,2025-04-23 08:28:00+00:00,Point,-74.299352,39.795177,2025,4,23,New Jersey,United States,North America
EONET_13407,"Curry Island (22) Wildfire, Glades, Florida","Glades County, Lakeport, Florida",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13407,wildfires,Wildfires,2025-04-22 23:20:00+00:00,Point,-81.1119444,26.9552778,2025,4,22,Florida,United States,North America
EONET_13354,Wildfire in Russian Federation 1023700,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13354,wildfires,Wildfires,2025-04-22 19:00:00+00:00,Point,115.29502301512092,52.73695077399787,2025,4,22,Transbaikal Territory,Russian Federation,Asia
EONET_13358,Wildfire in Russian Federation 1023704,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13358,wildfires,Wildfires,2025-04-22 19:00:00+00:00,Point,115.89241812894072,52.82836269206902,2025,4,22,Transbaikal Territory,Russian Federation,Asia
EONET_13359,Wildfire in Russian Federation 1023706,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13359,wildfires,Wildfires,2025-04-22 19:00:00+00:00,Point,114.45755916743784,52.577230572264625,2025,4,22,Transbaikal Territory,Russian Federation,Asia
EONET_13360,Wildfire in Russian Federation 1023707,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13360,wildfires,Wildfires,2025-04-22 19:00:00+00:00,Point,115.90383242124985,52.82842547256827,2025,4,22,Transbaikal Territory,Russian Federation,Asia
EONET_13365,Wildfire in Russian Federation 1023710,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13365,wildfires,Wildfires,2025-04-22 19:00:00+00:00,Point,116.28876433875848,53.30396108851382,2025,4,22,Transbaikal Territory,Russian Federation,Asia
EONET_13435,"Pines RX Wildfire, Sevier, Utah",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13435,wildfires,Wildfires,2025-04-22 13:37:00+00:00,Point,-111.3249,38.990911,2025,4,22,Utah,United States,North America
EONET_13445,"NW Prairie South RX Wildfire, Lac qui Parle, Minnesota",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13445,wildfires,Wildfires,2025-04-22 12:12:00+00:00,Point,-96.4467,45.2683,2025,4,22,Minnesota,United States,North America
EONET_13417,"Plum Creek Wildfire, Brown, Nebraska","Brown County, 5 miles NE of Johnstown, NE",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13417,wildfires,Wildfires,2025-04-21 19:35:00+00:00,Point,-100.149164,42.599661,2025,4,21,Nebraska,United States,North America
EONET_13351,Wildfire in Mexico 1023698,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13351,wildfires,Wildfires,2025-04-21 19:00:00+00:00,Point,-105.3806890651289,20.196407048537605,2025,4,21,Jalisco,Mexico,North America
EONET_13437,"LXR Eastside Rx 0419 Wildfire, Palm Beach, Florida",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13437,wildfires,Wildfires,2025-04-21 07:14:00+00:00,Point,-80.266617,26.535617,2025,4,21,Florida,United States,North America
EONET_13361,Wildfire in Russian Federation 1023708,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13361,wildfires,Wildfires,2025-04-20 19:00:00+00:00,Point,117.19675232910652,52.85817489424867,2025,4,20,Transbaikal Territory,Russian Federation,Asia
EONET_13346,Wildfire in Russian Federation 1023695,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13346,wildfires,Wildfires,2025-04-19 19:00:00+00:00,Point,115.4401231497338,52.69555137968115,2025,4,19,Transbaikal Territory,Russian Federation,Asia
EONET_13355,Wildfire in Russian Federation 1023701,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13355,wildfires,Wildfires,2025-04-19 19:00:00+00:00,Point,115.29493508953968,53.07150997242144,2025,4,19,Transbaikal Territory,Russian Federation,Asia
EONET_13371,Wildfire in Australia 1023713,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13371,wildfires,Wildfires,2025-04-19 19:00:00+00:00,Point,130.3984592929139,-18.45615135360597,2025,4,19,Western Australia,Australia,Oceania
EONET_13440,"Hwy 210 Wildfire, Pender, North Carolina",NC 210 &amp;amp; NC117,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13440,wildfires,Wildfires,2025-04-19 18:59:00+00:00,Point,-77.9211111,34.4394444,2025,4,19,North Carolina,United States,North America
EONET_13433,"Danny&#039;s Wildfire, Cumberland, New Jersey","NJ Peaslee Wildlife Management Area, area of  Union Road, Rt. 49 and Mays Landin",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13433,wildfires,Wildfires,2025-04-19 11:46:00+00:00,Point,-74.94135,39.39074,2025,4,19,New Jersey,United States,North America
EONET_13362,Wildfire in Cuba 1023709,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13362,wildfires,Wildfires,2025-04-18 19:00:00+00:00,Point,-83.91599013339257,22.378108034994153,2025,4,18,Pinar del Rio,Cuba,North America
EONET_13363,Wildfire in Russian Federation 1023705,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13363,wildfires,Wildfires,2025-04-18 19:00:00+00:00,Point,114.62070789753164,52.753803968987945,2025,4,18,Transbaikal Territory,Russian Federation,Asia
EONET_13232,"LIRI FY25 Slant Rock RX Wildfire, Winston, Alabama",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13232,wildfires,Wildfires,2025-04-18 10:10:00+00:00,Point,-87.342075,34.097144,2025,4,18,Alabama,United States,North America
EONET_13233,"rx-51 North Wildfire, Burnett, Wisconsin",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13233,wildfires,Wildfires,2025-04-18 09:42:00+00:00,Point,-92.5678007,45.8658224,2025,4,18,Wisconsin,United States,North America
EONET_13347,Wildfire in Laos 1023696,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13347,wildfires,Wildfires,2025-04-17 19:00:00+00:00,Point,101.5951508074957,20.701027346261032,2025,4,17,Loungnamtha,Lao People's Democratic Republic,Asia
EONET_13352,Wildfire in Russian Federation 1023699,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13352,wildfires,Wildfires,2025-04-17 19:00:00+00:00,Point,114.64681726406177,52.994791535758885,2025,4,17,Transbaikal Territory,Russian Federation,Asia
EONET_13356,Wildfire in Russian Federation 1023702,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13356,wildfires,Wildfires,2025-04-17 19:00:00+00:00,Point,114.84288190763505,53.021292469949714,2025,4,17,Transbaikal Territory,Russian Federation,Asia
EONET_13366,Wildfire in Russian Federation 1023711,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13366,wildfires,Wildfires,2025-04-17 19:00:00+00:00,Point,116.14315386682232,53.20736499396486,2025,4,17,Transbaikal Territory,Russian Federation,Asia
EONET_13413,"DCNF C. 41/42 RX Wildfire, Houston, Texas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13413,wildfires,Wildfires,2025-04-17 12:27:00+00:00,Point,-95.220302,31.32807,2025,4,17,Texas,United States,North America
EONET_13244,"Tombigbee CPT 79 77 RX Wildfire, Winston, Mississippi",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13244,wildfires,Wildfires,2025-04-17 10:28:00+00:00,Point,-89.0873,33.2345,2025,4,17,Mississippi,United States,North America
EONET_13238,"RX C1 &amp; C2 Wildfire, Montgomery, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13238,wildfires,Wildfires,2025-04-17 10:24:00+00:00,Point,-93.785833,34.47,2025,4,17,Arkansas,United States,North America
EONET_13230,"Partridge Two Wildfire, Morrison, Minnesota","8 miles SE of Pierz, MN",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13230,wildfires,Wildfires,2025-04-17 10:03:00+00:00,Point,-93.92416,45.924063,2025,4,17,Minnesota,United States,North America
EONET_13245,"Bienville CPT 61 63 RX Wildfire, Scott, Mississippi",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13245,wildfires,Wildfires,2025-04-17 08:53:00+00:00,Point,-89.433,32.3469,2025,4,17,Mississippi,United States,North America
EONET_13239,"RX Stevens Wildfire, Polk, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13239,wildfires,Wildfires,2025-04-17 08:46:00+00:00,Point,-94.216111,34.406667,2025,4,17,Arkansas,United States,North America
EONET_13251,"LXR Eastside Rx 0417 Wildfire, Palm Beach, Florida",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13251,wildfires,Wildfires,2025-04-17 08:33:00+00:00,Point,-80.266617,26.535617,2025,4,17,Florida,United States,North America
EONET_13246,"Fed Park RX Wildfire, Mason, Michigan",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13246,wildfires,Wildfires,2025-04-17 08:11:00+00:00,Point,-86.394333,44.1032,2025,4,17,Michigan,United States,North America
EONET_13234,"Buck Creek Fire Wildfire, Pushmataha, Oklahoma",7 miles W of Dunbar,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13234,wildfires,Wildfires,2025-04-16 23:28:00+00:00,Point,-95.6883333,34.4569444,2025,4,16,Oklahoma,United States,North America
EONET_13250,"Mio Prairie RX Wildfire, Oscoda, Michigan",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13250,wildfires,Wildfires,2025-04-16 12:16:00+00:00,Point,-84.21381,44.539173,2025,4,16,Michigan,United States,North America
EONET_13259,"Holly Springs IU 140 1  141 1 RX Wildfire, Yalobusha, Mississippi",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13259,wildfires,Wildfires,2025-04-16 11:23:00+00:00,Point,-89.7962,34.0568,2025,4,16,Mississippi,United States,North America
EONET_13260,"RX Alamo 17 Wildfire, Garland, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13260,wildfires,Wildfires,2025-04-16 10:11:00+00:00,Point,-93.348056,34.483056,2025,4,16,Arkansas,United States,North America
EONET_13256,"RX Crystal Peninsula &amp; Hickory Nut Wildfire, Garland, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13256,wildfires,Wildfires,2025-04-16 10:08:00+00:00,Point,-93.399167,34.556389,2025,4,16,Arkansas,United States,North America
EONET_13254,"RX Bo/Mag Byway Wildfire, Logan, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13254,wildfires,Wildfires,2025-04-16 09:40:00+00:00,Point,-93.555413,35.241698,2025,4,16,Arkansas,United States,North America
EONET_13252,"RX CAN C23-28 Wildfire, Webster, Louisiana",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13252,wildfires,Wildfires,2025-04-16 09:18:00+00:00,Point,-93.291667,32.694722,2025,4,16,Louisiana,United States,North America
EONET_13253,"RX CAN C-29 Wildfire, Webster, Louisiana",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13253,wildfires,Wildfires,2025-04-16 09:12:00+00:00,Point,-93.271667,32.739722,2025,4,16,Louisiana,United States,North America
EONET_13257,"RX Greenhaw Wildfire, Newton, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13257,wildfires,Wildfires,2025-04-16 08:43:00+00:00,Point,-93.0302,35.791717,2025,4,16,Arkansas,United States,North America
EONET_13258,"RX Buffalo Road Wildfire, Scott, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13258,wildfires,Wildfires,2025-04-16 08:36:00+00:00,Point,-94.110595,34.804925,2025,4,16,Arkansas,United States,North America
EONET_13444,"Site 3 RX A&amp;C Wildfire, Talladega, Alabama",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13444,wildfires,Wildfires,2025-04-16 08:27:00+00:00,Point,-86.19299,33.18283,2025,4,16,Alabama,United States,North America
EONET_13265,"Jail House RX Wildfire, Winston, Alabama",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13265,wildfires,Wildfires,2025-04-16 08:26:00+00:00,Point,-87.218833,34.148167,2025,4,16,Alabama,United States,North America
EONET_13255,"Chase Fuels RX Wildfire, Lake, Michigan",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13255,wildfires,Wildfires,2025-04-16 08:20:00+00:00,Point,-85.73175,43.830833,2025,4,16,Michigan,United States,North America
EONET_13266,"Rx Walker 2224 Wildfire, Walker, Texas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13266,wildfires,Wildfires,2025-04-16 08:18:00+00:00,Point,-95.663252,30.656471,2025,4,16,Texas,United States,North America
EONET_13261,"RX Wildcat Hollow East Wildfire, Yell, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13261,wildfires,Wildfires,2025-04-16 07:58:00+00:00,Point,-93.483778,34.864556,2025,4,16,Arkansas,United States,North America
EONET_13224,Wildfire in Australia 1023684,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13224,wildfires,Wildfires,2025-04-15 19:00:00+00:00,Point,131.051899825058,-15.835208395563434,2025,4,15,Northern Territory,Australia,Oceania
EONET_13225,Wildfire in Australia 1023685,,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13225,wildfires,Wildfires,2025-04-15 19:00:00+00:00,Point,147.2513719027058,-26.15769464967942,2025,4,15,Queensland,Australia,Oceania
EONET_13229,"Picker Flats Fire Wildfire, Adair, Oklahoma","Northeast of Proctor, OK",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13229,wildfires,Wildfires,2025-04-15 18:51:00+00:00,Point,-94.7805556,35.9522222,2025,4,15,Oklahoma,United States,North America
EONET_13241,"Bee Rock Creek Wildfire, McDowell, North Carolina","9 Miles Northwest of Marion, NC 9 Miles Northwest of Marion, NC",https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13241,wildfires,Wildfires,2025-04-15 17:07:00+00:00,Point,-82.1080556,35.7994444,2025,4,15,North Carolina,United States,North America
EONET_13274,"RX Ross Creek East 3 Wildfire, Scott, Arkansas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13274,wildfires,Wildfires,2025-04-15 13:08:00+00:00,Point,-94.070798,34.824078,2025,4,15,Arkansas,United States,North America
EONET_13271,"RX CAT C-39 Wildfire, Grant, Louisiana",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13271,wildfires,Wildfires,2025-04-15 09:47:00+00:00,Point,-92.496831,31.652552,2025,4,15,Louisiana,United States,North America
EONET_13423,"SHNF C. 6/7 RX Wildfire, Montgomery, Texas",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13423,wildfires,Wildfires,2025-04-15 09:46:00+00:00,Point,-95.78,30.526667,2025,4,15,Texas,United States,North America
EONET_13242,"Unit 23 24 26 RX Wildfire, Sherburne, Minnesota",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13242,wildfires,Wildfires,2025-04-15 09:36:00+00:00,Point,-93.7184,45.484958,2025,4,15,Minnesota,United States,North America
EONET_13264,"IBSP North RX Wildfire, Lake, Illinois",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13264,wildfires,Wildfires,2025-04-15 09:36:00+00:00,Point,-87.809094,42.469322,2025,4,15,Illinois,United States,North America
EONET_13267,"RX WINN C-23 Wildfire, Winn, Louisiana",,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_13267,wildfires,Wildfires,2025-04-15 09:21:00+00:00,Point,-92.853611,32.0775,2025,4,15,Louisiana,United States,North America
